Country,gdp_2018,gdp_per_capita_2018,population_2018,rural_pop_2018,urban_pop_2018,pop_14_2018,pop_15_64_2018,pop_65_2018,pop_female_2018,mortality_2018,surface_area_2018
Afghanistan,19362969582,520.8966027,37172386,74.505,25.495,43.09017551,54.32489755,2.58492694,48.6358467,62.3,652860
Angola,1.05751E+11,3432.385736,30809762,34.486,65.514,46.80892471,50.97470164,2.216373648,50.53046293,77.2,1246700
Albania,15102500898,5268.848504,2866376,39.681,60.319,17.67287372,68.58239036,13.74473591,49.0630946,8.8,28750
United Arab Emirates,4.14179E+11,43004.95336,9630959,13.478,86.522,14.60350937,84.31148965,1.085000985,30.63668795,7.6,83600
Argentina,5.19872E+11,11683.94962,44494502,8.13,91.87,24.76093384,64.12127729,11.11778888,51.23734845,9.9,2780400
Armenia,12433089919,4212.070943,2951776,36.851,63.149,20.63342192,68.11276042,11.25381766,52.95657715,12.4,29740
Australia,1.4339E+12,57373.68668,24992369,13.988,86.012,19.19061704,65.15290773,15.65647523,50.19962324,3.7,7741220
Austria,4.55286E+11,51461.95478,8847037,41.703,58.297,14.29794763,66.70048591,19.00156646,50.82942665,3.5,83879.00391
Azerbaijan,46939529412,4721.178087,9942334,44.32,55.68,23.36956986,70.43524739,6.195182751,50.1157491,21.5,86600
Burundi,3036931818,271.7520444,11175378,86.968,13.032,45.50168075,52.25137879,2.24694046,50.42199464,58.5,27830
Belgium,5.42761E+11,47518.63604,11422068,1.999,98.001,17.05542276,64.1558335,18.78874374,50.59331939,3.7,30530
Benin,10354274635,901.5438712,11485048,52.688,47.312,42.44768239,54.29871231,3.253605297,50.0982017,93,114760
Burkina Faso,14124775069,715.122904,19751535,70.642,29.358,44.94808132,52.64493785,2.406980829,50.09548152,76.4,274220
Bangladesh,2.74025E+11,1698.262802,161356039,63.368,36.632,27.70602248,67.13558688,5.15839064,49.38729667,30.2,147630
Bulgaria,65132951116,9272.629304,7024216,24.992,75.008,14.59546532,64.38262025,21.02191443,51.41408841,7.1,111000
Bahrain,37746196809,24050.75751,1569439,10.713,89.287,19.25431012,78.319356,2.426333878,36.34825161,7.1,778.0000305
Bosnia and Herzegovina,20161865419,6065.672708,3323929,51.755,48.245,14.76621765,68.76346488,16.47031747,51.01053603,5.8,51210
Belarus,59662495092,6289.938553,9485386,21.405,78.595,16.86594305,68.28890878,14.84514817,53.45605422,3.4,207600
Bolivia,40287647757,3548.59014,11353142,30.575,69.425,31.07354775,61.73450486,7.191947392,49.78339913,26.8,1098580
Brazil,1.86863E+12,8920.762105,209469333,13.431,86.569,21.33407191,69.74309026,8.922837832,50.82991676,14.4,8515770
Botswana,18616018903,8258.641666,2254126,30.554,69.446,34.11294602,61.66317964,4.223874346,51.73076044,36.5,581730
Central African Republic,2219894702,475.7212505,4666377,58.636,41.364,44.29432055,52.87990574,2.825773707,50.43647371,116.5,622980
Canada,1.71334E+12,46232.98962,37058856,18.589,81.411,15.87025087,66.89774245,17.23200668,50.39152995,5,9984670
Switzerland,7.0514E+11,82796.54716,8516543,26.203,73.797,14.91095477,66.46582867,18.62321656,50.42712466,4.1,41290.40039
Chile,2.98231E+11,15923.35874,18729160,12.436,87.564,19.75390247,68.71629587,11.52980166,50.72703184,7.2,756700
China,1.36082E+13,9770.847088,1392730000,40.848,59.152,17.87700275,71.20211371,10.92088354,48.67937396,8.6,9562910
Cote d'Ivoire,43007047822,1715.531332,25069229,49.221,50.779,41.93697214,55.20408485,2.858943015,49.51911958,80.9,322460
Cameroon,38675205293,1533.74214,25216237,43.626,56.374,42.63157984,54.6395428,2.728877355,50.00348783,76.1,475440
Dem Rep Congo,47227535291,561.7771824,84068091,55.54,44.46,46.16564209,50.81651729,3.017840622,50.09774339,88.1,2344860
Dem Rep Congo,11263682694,2147.769461,5244363,33.084,66.916,41.76350246,55.554778,2.681719539,50.06560377,50.1,342000
Colombia,3.31047E+11,6667.7907,49648685,19.222,80.778,23.07789598,68.444057,8.47804702,50.9257717,14.2,1141748.984
Costa Rica,60130106116,12027.36588,4999441,20.66,79.34,21.32474411,69.12540822,9.549847673,50.0098511,8.8,51100
Cuba,1.00023E+11,8821.818891,11338138,22.963,77.037,16.21123899,68.60254959,15.18621142,50.33284983,5,109880
Cyprus,24961988663,28159.3017,1189265,33.19,66.81,16.78784796,69.49309027,13.71906177,49.9710745,2.4,9250
Czech Republic,2.45226E+11,23078.57349,10625695,26.208,73.792,15.58660552,64.99251759,19.42087689,50.80858893,3.4,78870
Germany,3.94762E+12,47603.02763,82927922,22.688,77.312,13.6210301,64.9170079,21.461962,50.66036737,3.7,357580
Denmark,3.55675E+11,61350.34791,5797446,12.126,87.874,16.45826256,63.7287848,19.81295264,50.27420273,4.2,42920
Dominican Republic,85555390387,8050.631602,10627165,18.926,81.074,27.9771295,64.94005302,7.082817476,50.00779607,28.8,48670
Algeria,1.73758E+11,4114.715061,42228429,27.371,72.629,30.14867859,63.48882487,6.362496545,49.48426788,23.5,2381740
Ecuador,1.08398E+11,6344.871979,17084357,36.179,63.821,28.028592,64.81411827,7.157289727,49.97062518,14.2,256370
Egypt,2.50895E+11,2549.132252,98423595,57.296,42.704,33.79872071,60.97149994,5.229779346,49.46997164,21.2,1001450
Spain,1.41904E+12,30370.89233,46723749,19.679,80.321,14.66700111,65.95449137,19.37850752,50.89664131,3,505935
Estonia,30732144529,23266.34627,1320884,31.12,68.88,16.35707375,64.01656941,19.62635685,52.85842682,2.6,45340
Ethiopia,84355604753,772.3135303,109224559,79.237,20.763,40.78298191,55.7158851,3.501132998,49.97888842,55.2,1104300
Finland,2.76743E+11,50152.34014,5518050,14.618,85.382,16.14518297,62.13402948,21.72078755,50.72075849,1.7,338450
France,2.77754E+12,41463.64402,66987244,19.556,80.444,17.95646444,62.00891081,20.03462475,51.58424048,4,549086.9922
Gabon,16853589311,7952.525893,2119275,10.63,89.37,37.0258697,59.41022284,3.563907468,49.06862016,44.8,267670
United Kingdom,2.8553E+12,42943.90227,66488991,16.602,83.398,17.67808207,63.92605226,18.39586567,50.63527456,4.3,243610
Georgia,17599660629,4717.143026,3731000,41.368,58.632,19.7952406,65.33926797,14.86549143,52.2912375,9.8,69700
Ghana,65556464048,2202.312164,29767108,43.94,56.06,37.59606159,59.33504041,3.068898007,49.3258297,47.9,238540
Guinea,10907214994,878.5996133,12414318,63.86,36.14,43.85017334,53.22380421,2.926022448,51.8211107,100.8,245860
