Country,gdp_2018,gdp_2014,gdp_2012,gdp_2009,gdp_2003,gdp_per_capita_2018,gdp_per_capita_2014,gdp_per_capita_2012,gdp_per_capita_2009,gdp_per_capita_2003,population_2018,population_2014,population_2012,population_2009,population_2003,rural_pop_2018,rural_pop_2014,rural_pop_2012,rural_pop_2009,rural_pop_2003,urban_pop_2018,urban_pop_2014,urban_pop_2012,urban_pop_2009,urban_pop_2003,pop_14_2018,pop_14_2014,pop_14_2012,pop_14_2009,pop_14_2003,pop_15_64_2018,pop_15_64_2014,pop_15_64_2012,pop_15_64_2009,pop_15_64_2003,pop_65_2018,pop_65_2014,pop_65_2012,pop_65_2009,pop_65_2003,pop_female_2018,pop_female_2014,pop_female_2012,pop_female_2009,pop_female_2003,mortality_2018,mortality_2014,mortality_2012,mortality_2009,mortality_2003,life_expec_2018,life_expec_2014,life_expec_2012,life_expec_2009,life_expec_2003,surface_area_2018,surface_area_2014,surface_area_2012,surface_area_2009,surface_area_2003,internet_2018,internet_2014,internet_2012,internet_2009,internet_2003,H1N1 Cases,H1N1 Deaths,H1N1 Update Time,H1N1 Mortality Rate,covid19 Sum of Deaths,covid19 Sum of Recovered,covid19 Sum of Confirmed,covid19 Mortality Rate,SARS Cases,SARS Number of deaths,SARS Case fatality ratio,Ebola Total cases,Ebola Total deaths,Ebola Fatality
Syrian Arab Republic,nan,nan,nan,nan,21828144686.0394,nan,nan,nan,nan,1253.3951455342099,16906283.0,18715672.0,20442541.0,21205873.0,17415214.0,45.838,48.5,46.445,44.76300000000001,46.951,54.162,51.5,53.555,55.236999999999995,53.049,31.421540806855887,33.963466166518195,36.0282493305888,37.9746686212824,39.892274651347996,64.07533477166821,62.192596529335496,60.3672876798975,58.6360957646026,56.766491643456106,4.50312442147583,3.8439373041462703,3.6044629895137,3.3892356141150097,3.34123370519593,49.8142113613984,49.60032251045939,49.586814059746295,49.42573691731529,49.071777125448996,16.7,17.6,17.8,16.3,20.5,nan,69.821,70.55,72.938,73.967,185180.0,185180.0,185180.0,185180.0,185180.0,nan,28.09,24.3001,17.3,3.39797261356623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sweden,556086488936.559,580249344644.964,550926978153.434,435114191643.367,332269146581.255,54608.3602546906,59843.5191685082,57874.2864975611,46793.9441559611,37090.941365894396,10183175.0,9696110.0,9519374.0,9298515.0,8958229.0,12.569,13.753,14.38,15.097999999999999,15.804,87.431,86.24700000000001,85.62,84.902,84.196,17.581785459921402,17.080402648292697,16.629888548574602,16.5939607350388,17.805053848343398,62.322689612278296,63.524925529793215,64.5603518124427,65.4316340006273,64.97632335191811,20.0955249278002,19.394671821914105,18.80975963898269,17.9744052643339,17.2186227997385,49.9457761669857,50.0457948541173,50.1124877486386,50.2341812621704,50.47914642550771,2.7,2.9,3.0,3.1,3.9,nan,82.2536585365854,81.7048780487805,81.35121951219509,80.0951219512195,447430.0,447420.0,447420.0,450300.0,450300.0,92.1416770535508,92.52,93.1799880065108,91.0,79.13,84.0,0.0,7/6/09 9:00,0.0,0.0,0.0,117.0,0.0,5.0,0.0,0.0,nan,nan,nan
Uruguay,59596885024.3487,57236013057.6443,51264390114.2305,31660911278.5627,12045631092.5353,17277.9701105496,16831.972935703,15171.5846627498,9451.93244915707,3624.1980524334203,3449299.0,3400434.0,3378974.0,3349676.0,3323668.0,4.666,5.0550000000000095,5.261,5.791,7.1720000000000015,95.334,94.945,94.73899999999999,94.209,92.82799999999999,20.6079810743386,21.286211532874,21.6815454390755,22.4873987812553,24.0978340796975,64.5774993948021,64.3303388153754,64.11997721202441,63.5901203579092,62.4763664722229,14.8145195308593,14.3834496517505,14.198477348900195,13.922480860835499,13.425799448079696,51.7215426942936,51.781049446850794,51.800442441864796,51.8077867829605,51.6983831985272,7.6,9.2,9.9,11.2,15.7,nan,77.244,77.00399999999998,76.60300000000002,75.373,176220.0,176220.0,176220.0,176220.0,176220.0,74.7671347261997,61.46,54.453768680746,41.8,15.9371367159756,195.0,4.0,7/6/09 9:00,0.020512821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Israel,370587977153.58295,309558454718.866,257180147032.142,207468170892.353,126965980061.922,41715.0292840432,37678.889774318195,32511.2378524925,27715.636808319,18979.3234467797,8883800.0,8215700.0,7910500.0,7485600.0,6689700.0,7.58199999999999,7.896,8.04000000000001,8.236999999999991,8.607000000000001,92.41799999999999,92.104,91.96,91.76299999999999,91.39299999999999,27.9252464589938,27.7748897311545,27.55075803498169,27.372151508602,27.9021128718996,60.097767516043604,61.1983530367715,61.783107759576204,62.369190465580594,62.0618809902054,11.9769860249625,11.026757232074,10.6661342054421,10.2586580258174,10.0360061378949,50.2981265779531,50.4549658425488,50.5421180924986,50.634815926538295,50.7007865412287,3.7,4.0,4.3,4.7,6.1,nan,82.15365853658541,81.7048780487805,81.4048780487805,79.64878048780491,22070.0,22070.0,22070.0,22070.0,22070.0,83.73313905697779,75.0177531628076,70.8,63.12,19.5933936579649,681.0,0.0,7/6/09 9:00,0.0,0.0,6.0,53.0,0.0,nan,nan,nan,nan,nan,nan
Northern Mariana Islands,1323000000.0,845000000.0,751000000.0,795000000.0,1239000000.0,23258.675855279398,15278.9078745141,13827.7696967465,14669.7913014596,21381.6073308368,56882.0,55305.0,54311.0,54193.0,57947.0,8.38200000000001,8.727,8.892000000000003,9.128,9.602,91.618,91.273,91.10799999999999,90.87200000000001,90.398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,460.0,460.0,460.0,460.0,460.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Paraguay,40496953779.071,40276532540.8812,33283228891.0923,22341754513.9643,7691367471.17992,5821.81432292324,6102.943232723261,5183.08287691315,3624.57105807169,1365.41641811806,6956071.0,6599526.0,6421512.0,6163972.0,5632983.0,38.415,39.525999999999996,40.093,41.063,43.023,61.585,60.474,59.907,58.937,56.977,29.4405055961229,30.8604587662811,31.9252487692542,33.4544024534829,36.736166255073,64.1292793944163,63.4157513736593,62.624711652845704,61.43204414296501,58.6886379738764,6.4302150094608095,5.72378986005965,5.4500395779001,5.11355340355212,4.575195771050611,49.151611348306105,49.1098145866278,49.114803216066,49.15108282486771,49.244867239968606,20.2,22.9,24.4,26.8,31.5,nan,73.473,73.068,72.45,71.249,406751.9921875,406751.9921875,406751.9921875,406750.0,406750.0,64.9935430235756,43.0,29.34,18.9,2.1119420821003403,106.0,1.0,7/6/09 9:00,0.009433962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Botswana,18616018903.4434,16250750259.0212,16067155187.0375,10267133177.7334,7511582173.37724,8258.641665746909,7780.638384603941,7877.790350443571,5255.76846136181,4330.94490040766,2254126.0,2088614.0,2039551.0,1953498.0,1734398.0,30.554000000000002,33.632,35.232,39.063,44.971000000000004,69.446,66.368,64.768,60.937,55.028999999999996,34.1129460158256,34.9304181042201,34.8754827030981,35.2081752835171,37.2848677177903,61.663179637881406,61.348796189633504,61.6035548913587,61.498501662146595,59.5370843370438,4.22387434629301,3.72078570614636,3.52096240554317,3.29332305433637,3.17804794516599,51.730760443234395,51.747015611751095,51.38027928696071,51.0591017637619,51.4784185997704,36.5,42.3,46.1,55.5,81.7,nan,66.265,63.511,58.446999999999996,50.518,581730.0,581730.0,581730.0,581730.0,581730.0,nan,36.74474744423,16.0,6.15,3.3451901740613996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Greenland,nan,2842048997.77283,2609667673.71601,2529948329.57153,1558753434.43083,nan,50484.92757390232,45936.765951698886,44918.564877075594,27459.762783948398,56025.0,56295.0,56810.0,56323.0,56765.0,13.184000000000001,14.187000000000001,14.8,15.913,17.662,86.816,85.81299999999997,85.2,84.087,82.338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.53841463414629,71.2990243902439,70.4678048780488,68.4353658536586,410450.0,410450.0,410450.0,410450.0,410450.0,nan,66.7,64.8960100995989,62.83,54.5342598293605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Japan,4971323079771.87,4850413536037.84,6203213121334.12,5231382674593.7,4445658071221.86,39289.9584346358,38109.4121125573,48603.4766497749,40855.1756354596,34808.3909176613,126529100.0,127276000.0,127629000.0,128047000.0,127718000.0,8.384,8.696,8.852,10.011000000000001,16.804000000000002,91.616,91.304,91.148,89.98899999999998,83.196,12.6968488090205,13.081478535478599,13.2424849017787,13.4392404806001,14.1592890154812,59.72678128062451,61.5688116965961,62.879579170088604,64.7316507776283,67.2817783440195,27.576369910355,25.3497097679254,23.8779359281327,21.829108741771602,18.5589326404993,51.1592591291078,51.12939726358941,51.111002044943895,51.07123246889221,50.955076204000996,2.5,2.8,3.0,3.3,4.0,nan,83.5878048780488,83.0960975609756,82.9314634146342,81.76,377970.0,377961.9921875,377960.0,377946.9921875,377900.0,91.28160848649321,89.1068330166075,79.4964,78.0,48.435265889965294,1790.0,0.0,7/6/09 9:00,0.0,47.0,503.0,3614.0,0.013004981,nan,nan,nan,nan,nan,nan
Seychelles,1590180446.19384,1343007845.04468,1060226125.6261599,847397850.094417,705704816.0423652,16433.9352865158,14700.3343408386,12006.68296237,9706.956059639593,8524.96123557779,96762.0,91359.0,88303.0,87298.0,82781.0,43.309,45.03100000000001,45.88,47.03100000000001,48.876999999999995,56.691,54.968999999999994,54.12,52.968999999999994,51.12300000000001,23.635371179039307,23.0345486387518,22.8264743042882,23.339794277659106,26.1542943712854,68.7700832166104,69.70546091386721,69.736401628457,69.2760071364067,66.5505185875772,7.594545604350339,7.25999044738099,7.43712406725484,7.3841985859342305,7.2951870411374005,48.6549117350197,48.4651962553336,48.2992829993089,48.640789531656196,50.260468260165304,14.5,14.6,14.3,14.0,13.7,nan,73.2292682926829,74.2756097560976,73.08292682926829,71.0292682926829,460.0,460.0,460.0,460.0,460.0,nan,51.25470199,47.076,nan,14.592504316949196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
